radius,radius_err,flux,flux_err,mass,mass_err,logF,logF_err
1.43,0.19,892202.718424,150545.58393800005,0.941,0.07200000000000001,5.950463542145616,0.07398815631220622
1.464,0.069,3570223.13425,480140.729925,1.222,0.078,6.552695359794319,0.05876198935968446
1.02,0.037000000000000005,795381.0604279998,71548.15033789999,1.3230000000000002,0.027999999999999997,5.900575245375711,0.039172655753717756
1.065,0.098,2250192.16835,364097.58009,0.8370000000000001,0.028999999999999998,6.352219608818128,0.07089512546305565
1.138,0.027000000000000003,445410.071988,43664.5019189,1.1436,0.0562492,5.648760033441964,0.042711994304177825
1.359,0.015,956356.9855790001,64652.9134514,0.689646,0.0236457,5.980620034459853,0.029404601403084207
0.977886,0.001,50.5174,2.0,1.0,0.001,1.7034409904440595,0.017202848878357543
1.44,0.15,1554052.31975,991069.37854,0.84,0.08,6.191465635955387,0.32760665895415864
0.93,0.1,310218.868847,183600.932326,1.29,0.13,5.491668209940869,0.2955366343405643
0.9420000000000001,0.032,58701.43783530001,6100.62549943,1.85,0.23,4.768648739003816,0.04529819154115478
1.115,0.057,43999.5240391,7616.42493916,0.84,0.18,4.64344797857004,0.07594211352785285
1.19,0.02,410132.909788,19102.1146801,0.73,0.04,5.6129246192408715,0.0202420955110294
1.0390000000000001,0.05,300772.4593024408,33388.41491862691,0.579,0.028,5.478238066891133,0.04841005520729968
1.06,0.35,894626.423151,449434.560071,1.774,0.079,5.951641721088153,0.2399358780705949
1.35,0.067,1888028.23415,313316.495983,1.76,0.13,6.276008484582739,0.07274349675082092
0.6829999999999999,0.037000000000000005,576869.473223,179065.95228599999,0.426,0.037000000000000005,5.761077557572151,0.1394080377501652
1.29,0.05,545644.229212,84953.9288541,0.97,0.09,5.736909566421483,0.06817181470480316
1.399,0.069,755354.568237,100415.607984,0.679,0.039,5.878150860082017,0.058078160573595376
1.78,0.17,2091751.55477,471440.83841499995,0.95,0.14,6.320510100462951,0.09959145060661713
1.743,0.047,3097171.10114,438090.946121,1.284,0.032,6.490965198326872,0.061845091027292735
1.443,0.11,1520504.3752600001,204457.213215,0.91,0.21,6.181987674166794,0.05875398781715724
1.525,0.065,4076891.7668800005,436294.32899999997,1.31,0.28,6.610329181976877,0.04665529119799184
1.57,0.042,3985636.05642,487027.48729200003,1.18,0.11,6.600497639094832,0.05333543703023302
1.286,0.065,1833542.6028,180194.593178,1.52064,0.0897487,6.263291005349799,0.04281925757581817
1.358,0.068,2318474.4185200003,304534.334416,1.46164,0.066,6.365202308359107,0.057376596965659665
1.699,0.046,2346573.18357,251432.99716300002,0.902,0.06,6.370434103285352,0.04671354644981385
1.193,0.13,581255.464221,149172.826219,0.43122,0.047399800000000006,5.764367048598869,0.11400538492812948
1.5330000000000001,0.046,3818176.44285,333335.230641,1.28,0.18,6.581855993828616,0.03801163465324375
1.86,0.18,1544366.45347,398057.488196,0.867,0.065,6.188750359365442,0.11452116668048175
0.94,0.12,7599.52319078,3622.27681108,1.45,0.35,3.8807863446348434,0.2252400145614433
1.101,0.035,52979.5909745,7907.60007739,1.84,0.18,4.724108601031742,0.06530959849934659
1.695,0.027999999999999997,1021201.90426,116109.220121,0.4319560000000001,0.041547900000000006,6.009111615972439,0.04959311631165697
0.96,0.07,292028.623944,76589.21035349999,0.662431,0.0789697,5.465425422036331,0.11662559246856305
1.0590000000000002,0.012,788.424417133,51.8669215316,1.51968,0.64815,2.8967600657113124,0.02861161678763424
1.034,0.017,5338.04834542,1117.17138743,0.42,0.05,3.7273825027699705,0.09225416887384563
1.29,0.02,1261423.41218,221356.36193699998,0.56,0.08,6.1008608872932815,0.0770076577162584
1.325,0.043,2330761.97683,329550.299553,0.940391,0.08662360000000001,6.367497924559863,0.06181979509757918
0.94,0.12,7647.57246121,3560.83083277,1.45,0.35,3.8835236006426026,0.2190832837108008
1.15,0.11,230403.08480516964,184039.6039327334,0.43,0.13,5.362488289442556,0.4756442240691778
1.192,0.052000000000000005,749651.5841270002,120103.40691199999,0.595,0.081,5.874859463059709,0.07018397939093646
0.89,0.08,365778.231878,192470.445989,1.03,0.13,5.563217856261868,0.2540048146279301
1.08,0.03,271548.388987,38159.2662864,1.27,0.19,5.4338472306008185,0.06143566437597104
1.99,0.18,1579417.84676,546659.603002,0.84,0.15,6.198497041050477,0.1567902054211081
1.24,0.07,1286675.66304,335770.44498699997,1.02109,0.0700655,6.109469086528494,0.11601652469685007
1.65,0.2,168708.17641400002,58391.651849099995,1.37,0.16,5.2271361311097655,0.15678811726025946
0.96,0.11,50242.884051199995,55982.85802389999,0.5114989999999999,0.0579971,4.7010745608957825,2.513114886840039
0.747,0.017,4822.36689709,480.35270771300003,0.97,0.29,3.683260249450793,0.04340371245208919
0.8740000000000001,0.040999999999999995,390851.256423,78352.20744760001,0.57,0.066,5.592011512370147,0.0882562548066117
1.3230000000000002,0.026000000000000002,1115517.55604,79461.6095524,0.669376,0.030945900000000002,6.047476409609815,0.030988562862370287
1.4780000000000002,0.05,1257029.4749399999,128758.90710999999,0.437758,0.0385085,6.099345461181357,0.044641828400198584
1.32,0.14,443462.0442802826,159618.82248611844,0.6671100000000001,0.0904267,5.6468564546862625,0.1636485113271946
0.96,0.016,523024.09652799997,47343.502158899995,0.430957,0.034420400000000004,5.7185216979458025,0.039419705862182575
1.419,0.055999999999999994,1535520.5853294902,301489.4125410785,0.585742,0.10430899999999999,6.186255643009684,0.0863926947118232
1.21,0.006,16716.950655700002,1441.90343297,1.02004,0.0276878,4.2231570605324364,0.03755293871808085
1.367,0.069,3484590.71823,654735.647859,0.81,0.18,6.542151775474897,0.0825827379386066
1.33,0.61,49067.0840171,57218.4876594,0.812,0.066,4.6907902492808535,2.5132371564075755
1.25,0.14,870446.708976,368399.35922,0.62,0.14,5.939742187623239,0.1961363339943856
1.051,0.057,221812.70351999998,42504.1080804,0.55,0.1,5.345986415170438,0.08426183910802854
1.093,0.027999999999999997,690920.949625,77268.7970773,1.26,0.16,5.839428361259083,0.04877312211370377
1.2,0.15,2751175.72258,1089502.75125,1.18,0.14,6.43951833045133,0.18193119779067413
1.13,0.24,564102.6201640001,274851.991065,1.0245,0.148681,5.7513581169566015,0.23123207663124656
1.36,0.18,1685203.55014,502416.34703,0.7572770000000001,0.14913900000000002,6.226652365363775,0.13353262382470366
1.3630000000000002,0.092,4692927.59248,1084551.68935,1.39,0.18,6.6714438535031455,0.1022133114206336
1.1640000000000001,0.045,757807.018231,140013.051446,1.08979,0.08502230000000001,5.879558623062071,0.08117282326019293
1.067,0.022000000000000002,370073.07643,31317.113292299997,0.752484,0.0476367,5.568287490436344,0.036839902470610315
1.224,0.040999999999999995,1067514.19178,123798.137433,1.20071,0.0522427,6.0283736573464966,0.05059214658891608
1.3359999999999999,0.031,1501894.20569,160586.904671,1.91,0.075,6.1766393417871654,0.04661421543021938
1.7830000000000001,0.09300000000000001,2149792.03808,263809.449698,0.925,0.08199999999999999,6.332396450109749,0.053563942955655815
1.209,0.021,1057161.02098,69030.1595768,1.7781,0.0800981,6.024141141703923,0.028398829264974605
1.516,0.052000000000000005,2498061.8604200003,260795.12830900002,0.9179999999999999,0.091,6.397603188764463,0.04550571185053931
1.41,0.05,1211338.9680899999,180157.635373,0.5,0.04,6.083265688454364,0.06507355406351413
1.528,0.073,8000440.84358,1479508.04672,1.48791,0.0959377,6.9031139183243475,0.08124813570706912
1.137,0.037000000000000005,1087580.95416,180726.3351,1.272,0.047,6.036461593568238,0.07284340951688373
0.96,0.03,101150.14907626447,23918.76358741464,1.8,0.1,5.0049665271755455,0.10467777411834467
1.085,0.046,365799.696465,58975.3517632,1.925,0.076,5.563243340769621,0.07063459125956763
0.91,0.06,166431.08741500002,32805.7758859,0.539755,0.051870299999999994,5.221234450751509,0.08674048252669707
1.409,0.096,945183.165726,246113.12558400002,0.475,0.054000000000000006,5.975515977986347,0.11574954983720075
1.339,0.064,3393610.5496400013,688137.306394,1.769,0.064,6.530662001255973,0.08930146506420966
1.44,0.036000000000000004,1878177.774,224658.428198,0.514,0.02,6.273736696882825,0.05219808237523616
1.4,0.2,1137121.69861,350728.700552,1.23,0.08,6.0558069468393825,0.13845981394561369
1.79,0.09,8880173.449269999,1932900.6535599998,1.36063,0.0509218,6.948421448585491,0.096067413390863
1.865,0.044000000000000004,6447230.89003,951878.3811700001,1.183,0.064,6.809373223564668,0.06459194243821242
1.318,0.065,1075158.01074,198817.30191900002,0.899,0.036000000000000004,6.031472295088469,0.08124401285619952
